"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"804","von,z.t.","0043501","wo",3,"von","z","t.","von,z","saretzki,g, ludwig,a"
"805","hofmann,k.","0043505","wo",1,"hofmann","k","","hofmann,k",""
"806","savitzky,k.","0043506","wo",1,"savitzky","k","","savitzky,k","mintz,l"
"807","mintz,l.","0043506","wo",2,"mintz","l","","mintz,l","savitzky,k"
"808","frenken,l.g.","0043507","wo",1,"frenken","l","g.","frenken,l","van der logt,c"
"809","van der logt,c.p.e.","0043507","wo",2,"van der logt","c","p.e.","van der logt,c","frenken,l"
"810","vinals-bassols,c.","0043509","wo",1,"vinals-bassols","c","","vinals-bassols,c",""
"811","rotin,d.","0043510","wo",1,"rotin","d","","rotin,d","pham,n"
"812","pham,n.","0043510","wo",2,"pham","n","","pham,n","rotin,d"
"813","vinals-bassols,c.","0043511","wo",1,"vinals-bassols","c","","vinals-bassols,c",""
"814","thonnard,j.","0043517","wo",1,"thonnard","j","","thonnard,j",""
"815","thonnard,j.","0043518","wo",1,"thonnard","j","","thonnard,j",""
"816","ruelle,j.l.","0043519","wo",1,"ruelle","j","l.","ruelle,j",""
"817","desanlis,f.","0043524","wo",1,"desanlis","f","","desanlis,f","zhou-liu,q, fournier,a, maury,i"
"818","zhou-liu,q.","0043524","wo",2,"zhou-liu","q","","zhou-liu,q","desanlis,f, fournier,a, maury,i"
"819","fournier,a.","0043524","wo",3,"fournier","a","","fournier,a","desanlis,f, zhou-liu,q, maury,i"
"820","maury,i.","0043524","wo",4,"maury","i","","maury,i","desanlis,f, zhou-liu,q, fournier,a"
"821","bollen,a.","0043527","wo",1,"bollen","a","","bollen,a","jacobs,p, jacquet,a, haumont,m, massaer,m"
"822","jacobs,p.","0043527","wo",2,"jacobs","p","","jacobs,p","bollen,a, jacquet,a, haumont,m, massaer,m"
"823","jacquet,a.","0043527","wo",3,"jacquet","a","","jacquet,a","bollen,a, jacobs,p, haumont,m, massaer,m"
"824","haumont,m.","0043527","wo",4,"haumont","m","","haumont,m","bollen,a, jacobs,p, jacquet,a, massaer,m"
"825","massaer,m.g.","0043527","wo",5,"massaer","m","g.","massaer,m","bollen,a, jacobs,p, jacquet,a, haumont,m"
"826","davies,c.","0043529","wo",1,"davies","c","","davies,c","dornenburg,h, hunter,k"
"827","dornenburg,h.","0043529","wo",2,"dornenburg","h","","dornenburg,h","davies,c, hunter,k"
"828","hunter,k.j.","0043529","wo",3,"hunter","k","j.","hunter,k","davies,c, dornenburg,h"
"829","eshhar,z.","0043774","wo",1,"eshhar","z","","eshhar,z","willner,i"
"830","willner,i.","0043774","wo",2,"willner","i","","willner,i","eshhar,z"
"831","becker,d.l.","0044409","wo",1,"becker","d","l.","becker,d","green,c"
"832","green,c.r.","0044409","wo",2,"green","c","r.","green,c","becker,d"
"833","lerner,r.a.","0044710","ep",1,"lerner","r","a.","lerner,r","green,n, sutcliffe,j, shinnick,t"
"834","green,n.","0044710","ep",2,"green","n","","green,n","lerner,r, sutcliffe,j, shinnick,t"
"835","sutcliffe,j.g.","0044710","ep",3,"sutcliffe","j","g.","sutcliffe,j","lerner,r, green,n, shinnick,t"
"836","shinnick,t.m.","0044710","ep",4,"shinnick","t","m.","shinnick,t","lerner,r, green,n, sutcliffe,j"
"837","kontermann,r.e.","0044771","wo",1,"kontermann","r","e.","kontermann,r","mueller,r, montigiani,s"
"838","mueller,r.","0044771","wo",2,"mueller","r","","mueller,r","kontermann,r, montigiani,s"
"839","montigiani,s.","0044771","wo",3,"montigiani","s","","montigiani,s","kontermann,r, mueller,r"
"840","grandgeorge,m.g.","0044772","wo",1,"grandgeorge","m","g.","grandgeorge,m","veron,j, ballance,d, berezenko,s, woodrow,j, cameron,j, sleep,d, mead,d, van urk,h, cartwright,a, morton,p"
"841","veron,j.l.","0044772","wo",10,"veron","j","l.","veron,j","grandgeorge,m, ballance,d, berezenko,s, woodrow,j, cameron,j, sleep,d, mead,d, van urk,h, cartwright,a, morton,p"
"842","ballance,d.j.","0044772","wo",11,"ballance","d","j.","ballance,d","grandgeorge,m, veron,j, berezenko,s, woodrow,j, cameron,j, sleep,d, mead,d, van urk,h, cartwright,a, morton,p"
"843","berezenko,s.","0044772","wo",2,"berezenko","s","","berezenko,s","grandgeorge,m, veron,j, ballance,d, woodrow,j, cameron,j, sleep,d, mead,d, van urk,h, cartwright,a, morton,p"
"844","woodrow,j.r.","0044772","wo",3,"woodrow","j","r.","woodrow,j","grandgeorge,m, veron,j, ballance,d, berezenko,s, cameron,j, sleep,d, mead,d, van urk,h, cartwright,a, morton,p"
"845","cameron,j.","0044772","wo",4,"cameron","j","","cameron,j","grandgeorge,m, veron,j, ballance,d, berezenko,s, woodrow,j, sleep,d, mead,d, van urk,h, cartwright,a, morton,p"
"846","sleep,d.","0044772","wo",5,"sleep","d","","sleep,d","grandgeorge,m, veron,j, ballance,d, berezenko,s, woodrow,j, cameron,j, mead,d, van urk,h, cartwright,a, morton,p"
"847","mead,d.j.","0044772","wo",6,"mead","d","j.","mead,d","grandgeorge,m, veron,j, ballance,d, berezenko,s, woodrow,j, cameron,j, sleep,d, van urk,h, cartwright,a, morton,p"
"848","van urk,h.","0044772","wo",7,"van urk","h","","van urk,h","grandgeorge,m, veron,j, ballance,d, berezenko,s, woodrow,j, cameron,j, sleep,d, mead,d, cartwright,a, morton,p"
"849","cartwright,a.j.","0044772","wo",8,"cartwright","a","j.","cartwright,a","grandgeorge,m, veron,j, ballance,d, berezenko,s, woodrow,j, cameron,j, sleep,d, mead,d, van urk,h, morton,p"
"850","morton,p.h.","0044772","wo",9,"morton","p","h.","morton,p","grandgeorge,m, veron,j, ballance,d, berezenko,s, woodrow,j, cameron,j, sleep,d, mead,d, van urk,h, cartwright,a"
"851","savitzky,k.","0044784","wo",1,"savitzky","k","","savitzky,k","mintz,l"
"852","mintz,l.","0044784","wo",2,"mintz","l","","mintz,l","savitzky,k"
"853","jentsch,t.j.","0044786","wo",1,"jentsch","t","j.","jentsch,t",""
"854","leiper,j.m.","0044888","wo",1,"leiper","j","m.","leiper,j","whitley,g, charles,i, vallance,p"
"855","whitley,g.s.","0044888","wo",2,"whitley","g","s.","whitley,g","leiper,j, charles,i, vallance,p"
"856","charles,i.g.","0044888","wo",3,"charles","i","g.","charles,i","leiper,j, whitley,g, vallance,p"
"857","vallance,p.j.","0044888","wo",4,"vallance","p","j.","vallance,p","leiper,j, whitley,g, charles,i"
"858","thonnard,j.","0044890","wo",1,"thonnard","j","","thonnard,j",""
"859","beyaert,r.","0044896","wo",1,"beyaert","r","","beyaert,r","cornelis,s"
"860","cornelis,s.","0044896","wo",2,"cornelis","s","","cornelis,s","beyaert,r"
"861","thonnard,j.","0044904","wo",1,"thonnard","j","","thonnard,j",""
"862","bramley,p.m.","0044912","wo",1,"bramley","p","m.","bramley,p","harker,m"
"863","harker,m.","0044912","wo",2,"harker","m","","harker,m","bramley,p"
"864","li,x.","0044913","wo",1,"li","x","","li,x","palmer,l, zhu,y, southan,c"
"865","palmer,l.","0044913","wo",2,"palmer","l","","palmer,l","li,x, zhu,y, southan,c"
"866","zhu,y.","0044913","wo",3,"zhu","y","","zhu,y","li,x, palmer,l, southan,c"
"867","southan,c.d.","0044913","wo",4,"southan","c","d.","southan,c","li,x, palmer,l, zhu,y"
"868","dean,c.","0044918","wo",1,"dean","c","","dean,c","gendall,a"
"869","gendall,a.","0044918","wo",2,"gendall","a","","gendall,a","dean,c"
"870","klein,d.","0044935","wo",1,"klein","d","","klein,d","guenzburg,w, salmons,b"
"871","guenzburg,w.","0044935","wo",2,"guenzburg","w","","guenzburg,w","klein,d, salmons,b"
"872","salmons,b.","0044935","wo",3,"salmons","b","","salmons,b","klein,d, guenzburg,w"
"873","matthews,s.j.","0045173","wo",1,"matthews","s","j.","matthews,s","dougan,g, frankel,g, hale,c"
"874","dougan,g.","0045173","wo",2,"dougan","g","","dougan,g","matthews,s, frankel,g, hale,c"
"875","frankel,g.m.","0045173","wo",3,"frankel","g","m.","frankel,g","matthews,s, dougan,g, hale,c"
"876","hale,c.b.","0045173","wo",4,"hale","c","b.","hale,c","matthews,s, dougan,g, frankel,g"
"877","gallusser,a.","0045176","wo",1,"gallusser","a","","gallusser,a","karl,j, lill,h, stahl,p, krueger,k, borgya,a"
"878","karl,j.","0045176","wo",2,"karl","j","","karl,j","gallusser,a, lill,h, stahl,p, krueger,k, borgya,a"
"879","lill,h.","0045176","wo",3,"lill","h","","lill,h","gallusser,a, karl,j, stahl,p, krueger,k, borgya,a"
"880","stahl,p.","0045176","wo",4,"stahl","p","","stahl,p","gallusser,a, karl,j, lill,h, krueger,k, borgya,a"
"881","krueger,k.","0045176","wo",5,"krueger","k","","krueger,k","gallusser,a, karl,j, lill,h, stahl,p, borgya,a"
"882","borgya,a.","0045176","wo",6,"borgya","a","","borgya,a","gallusser,a, karl,j, lill,h, stahl,p, krueger,k"
"883","bullerdiek,j.","0045851","wo",1,"bullerdiek","j","","bullerdiek,j",""
"884","eaton,m.a.w.","0046039","ep",1,"eaton","m","a.w.","eaton,m","smith,j, doel,m, lilley,d, carey,n, bell,l"
"885","smith,j.c.","0046039","ep",2,"smith","j","c.","smith,j","eaton,m, doel,m, lilley,d, carey,n, bell,l"
"886","doel,m.t.","0046039","ep",3,"doel","m","t.","doel,m","eaton,m, smith,j, lilley,d, carey,n, bell,l"
"887","lilley,d.m.j.","0046039","ep",4,"lilley","d","m.j.","lilley,d","eaton,m, smith,j, doel,m, carey,n, bell,l"
"888","carey,n.h.","0046039","ep",5,"carey","n","h.","carey,n","eaton,m, smith,j, doel,m, lilley,d, bell,l"
"889","bell,l.d.","0046039","ep",6,"bell","l","d.","bell,l","eaton,m, smith,j, doel,m, lilley,d, carey,n"
"890","christophers,e.","0046245","wo",1,"christophers","e","","christophers,e","harder,j, schroeder,j"
"891","harder,j.","0046245","wo",2,"harder","j","","harder,j","christophers,e, schroeder,j"
"892","schroeder,j.","0046245","wo",3,"schroeder","j","","schroeder,j","christophers,e, harder,j"
"893","black,m.t.","0046250","wo",1,"black","m","t.","black,m","humphries,a, bruton,g, ashman,s, moore,k"
"894","humphries,a.j.","0046250","wo",2,"humphries","a","j.","humphries,a","black,m, bruton,g, ashman,s, moore,k"
"895","bruton,g.","0046250","wo",3,"bruton","g","","bruton,g","black,m, humphries,a, ashman,s, moore,k"
"896","ashman,s.","0046250","wo",4,"ashman","s","","ashman,s","black,m, humphries,a, bruton,g, moore,k"
"897","moore,k.j.","0046250","wo",5,"moore","k","j.","moore,k","black,m, humphries,a, bruton,g, ashman,s"
"898","dean,c.","0046358","wo",1,"dean","c","","dean,c","west,j, johanson,u"
"899","west,j.","0046358","wo",2,"west","j","","west,j","dean,c, johanson,u"
"900","johanson,u.","0046358","wo",3,"johanson","u","","johanson,u","dean,c, west,j"
"901","matthews,r.c.","0046359","wo",1,"matthews","r","c.","matthews,r","burnie,j"
"902","burnie,j.p.","0046359","wo",2,"burnie","j","p.","burnie,j","matthews,r"
"903","hildt,e.","0046376","wo",1,"hildt","e","","hildt,e","hofschneider,p"
"904","hofschneider,p.","0046376","wo",2,"hofschneider","p","","hofschneider,p","hildt,e"
"905","memelink,j.","0046383","wo",1,"memelink","j","","memelink,j","kijne,j, menke,f, van der fits,c"
"906","kijne,j.w.","0046383","wo",2,"kijne","j","w.","kijne,j","memelink,j, menke,f, van der fits,c"
"907","menke,f.l.","0046383","wo",3,"menke","f","l.","menke,f","memelink,j, kijne,j, van der fits,c"
"908","van der fits,c.t.","0046383","wo",4,"van der fits","c","t.","van der fits,c","memelink,j, kijne,j, menke,f"
"909","firth,g.","0046402","wo",1,"firth","g","","firth,g","odedra,r"
"910","odedra,r.m.","0046402","wo",2,"odedra","r","m.","odedra,r","firth,g"
"911","larsen,f.","0046601","wo",1,"larsen","f","","larsen,f","skaanseng,m"
"912","skaanseng,m.","0046601","wo",2,"skaanseng","m","","skaanseng,m","larsen,f"
"913","schreiber,m.","0047223","wo",1,"schreiber","m","","schreiber,m",""
"914","kingsman,s.m.","0047622","wo",1,"kingsman","s","m.","kingsman,s","martin-rendon,e, mazarakis,n"
"915","martin-rendon,e.","0047622","wo",2,"martin-rendon","e","","martin-rendon,e","kingsman,s, mazarakis,n"
"916","mazarakis,n.","0047622","wo",3,"mazarakis","n","","mazarakis,n","kingsman,s, martin-rendon,e"
"917","caricasole,a.","0047723","wo",1,"caricasole","a","","caricasole,a","caldara,f, sala,c"
"918","caldara,f.","0047723","wo",2,"caldara","f","","caldara,f","caricasole,a, sala,c"
"919","sala,c.f.","0047723","wo",3,"sala","c","f.","sala,c","caricasole,a, caldara,f"
"920","anlezark,g.","0047725","wo",1,"anlezark","g","","anlezark,g","minton,n, vaughan,t"
"921","minton,n.","0047725","wo",2,"minton","n","","minton,n","anlezark,g, vaughan,t"
"922","vaughan,t.","0047725","wo",3,"vaughan","t","","vaughan,t","anlezark,g, minton,n"
"923","ruelle,j.l.","0047737","wo",1,"ruelle","j","l.","ruelle,j","thonnard,j"
"924","thonnard,j.","0047737","wo",2,"thonnard","j","","thonnard,j","ruelle,j"
"925","thonnard,j.","0047743","wo",1,"thonnard","j","","thonnard,j",""
"926","boileau,g.","0047750","wo",1,"boileau","g","","boileau,g","desgroseillers,l"
"927","desgroseillers,l.","0047750","wo",2,"desgroseillers","l","","desgroseillers,l","boileau,g"
"928","gibson,n.j.","0047766","wo",1,"gibson","n","j.","gibson,n","foy,c, hodgson,d"
"929","foy,c.a.","0047766","wo",2,"foy","c","a.","foy,c","gibson,n, hodgson,d"
"930","hodgson,d.r.","0047766","wo",3,"hodgson","d","r.","hodgson,d","gibson,n, foy,c"
"931","gibson,n.j.","0047767","wo",1,"gibson","n","j.","gibson,n","little,s, whitcombe,d"
"932","little,s.","0047767","wo",2,"little","s","","little,s","gibson,n, whitcombe,d"
"933","whitcombe,d.m.","0047767","wo",3,"whitcombe","d","m.","whitcombe,d","gibson,n, little,s"
"934","knight,j.c.","0047768","wo",1,"knight","j","c.","knight,j","kwiatkowski,d"
"935","kwiatkowski,d.p.","0047768","wo",2,"kwiatkowski","d","p.","kwiatkowski,d","knight,j"
"936","boothroyd,j.c.","0048455","ep",1,"boothroyd","j","c.","boothroyd,j","cross,g, highfield,p, winther,m, rowlands,d, brown,f, harris,t, lowe,p"
"937","cross,g.a.m.","0048455","ep",2,"cross","g","a.m.","cross,g","boothroyd,j, highfield,p, winther,m, rowlands,d, brown,f, harris,t, lowe,p"
"938","highfield,p.e.","0048455","ep",3,"highfield","p","e.","highfield,p","boothroyd,j, cross,g, winther,m, rowlands,d, brown,f, harris,t, lowe,p"
"939","winther,m.d.","0048455","ep",4,"winther","m","d.","winther,m","boothroyd,j, cross,g, highfield,p, rowlands,d, brown,f, harris,t, lowe,p"
"940","rowlands,d.j.","0048455","ep",5,"rowlands","d","j.","rowlands,d","boothroyd,j, cross,g, highfield,p, winther,m, brown,f, harris,t, lowe,p"
"941","brown,f.","0048455","ep",6,"brown","f","","brown,f","boothroyd,j, cross,g, highfield,p, winther,m, rowlands,d, harris,t, lowe,p"
"942","harris,t.j.r.","0048455","ep",7,"harris","t","j.r.","harris,t","boothroyd,j, cross,g, highfield,p, winther,m, rowlands,d, brown,f, lowe,p"
"943","lowe,p.a.","0048455","ep",8,"lowe","p","a.","lowe,p","boothroyd,j, cross,g, highfield,p, winther,m, rowlands,d, brown,f, harris,t"
"944","renno,t.","0048628","wo",1,"renno","t","","renno,t","bonnefoy,j"
"945","bonnefoy,j.y.","0048628","wo",2,"bonnefoy","j","y.","bonnefoy,j","renno,t"
"946","miconnet,i.","0048629","wo",1,"miconnet","i","","miconnet,i","romero,p, carottini,j, renno,t, bonnefoy,j"
"947","romero,p.","0048629","wo",2,"romero","p","","romero,p","miconnet,i, carottini,j, renno,t, bonnefoy,j"
"948","carottini,j.c.","0048629","wo",3,"carottini","j","c.","carottini,j","miconnet,i, romero,p, renno,t, bonnefoy,j"
"949","renno,t.","0048629","wo",4,"renno","t","","renno,t","miconnet,i, romero,p, carottini,j, bonnefoy,j"
"950","bonnefoy,j.y.","0048629","wo",5,"bonnefoy","j","y.","bonnefoy,j","miconnet,i, romero,p, carottini,j, renno,t"
"951","wykes,m.n.","0048631","wo",1,"wykes","m","n.","wykes,m","macpherson,g"
"952","macpherson,g.g.","0048631","wo",2,"macpherson","g","g.","macpherson,g","wykes,m"
"953","crea,r.","0048970","ep",1,"crea","r","","crea,r","goeddel,d"
"954","goeddel,d.v.n.","0048970","ep",2,"goeddel","d","v.n.","goeddel,d","crea,r"
"955","linxweiler,w.","0049039","wo",1,"linxweiler","w","","linxweiler,w","hofmann,u, wolf,a, burger,c, poeschke,o"
"956","hofmann,u.","0049039","wo",2,"hofmann","u","","hofmann,u","linxweiler,w, wolf,a, burger,c, poeschke,o"
"957","wolf,a.","0049039","wo",3,"wolf","a","","wolf,a","linxweiler,w, hofmann,u, burger,c, poeschke,o"
"958","burger,c.","0049039","wo",4,"burger","c","","burger,c","linxweiler,w, hofmann,u, wolf,a, poeschke,o"
"959","poeschke,o.","0049039","wo",5,"poeschke","o","","poeschke,o","linxweiler,w, hofmann,u, wolf,a, burger,c"
"960","hauser-funke,c.","0049147","wo",1,"hauser-funke","c","","hauser-funke,c",""
"961","kitamura,t.","0049149","wo",1,"kitamura","t","","kitamura,t","kojima,t"
"962","kojima,t.","0049149","wo",2,"kojima","t","","kojima,t","kitamura,t"
"963","andre,b.","0049152","wo",1,"andre","b","","andre,b","buerkle,l, frommer,w, gillissen,b"
"964","buerkle,l.","0049152","wo",2,"buerkle","l","","buerkle,l","andre,b, frommer,w, gillissen,b"
"965","frommer,w.b.","0049152","wo",3,"frommer","w","b.","frommer,w","andre,b, buerkle,l, gillissen,b"
"966","gillissen,b.","0049152","wo",4,"gillissen","b","","gillissen,b","andre,b, buerkle,l, frommer,w"
"967","altmann,f.","0049153","wo",1,"altmann","f","","altmann,f",""
"968","patel,l.","0049154","wo",1,"patel","l","","patel,l",""
"969","savitzky,k.","0049158","wo",1,"savitzky","k","","savitzky,k","azar,i, david,a, mintz,l"
"970","azar,i.","0049158","wo",2,"azar","i","","azar,i","savitzky,k, david,a, mintz,l"
"971","david,a.","0049158","wo",3,"david","a","","david,a","savitzky,k, azar,i, mintz,l"
"972","mintz,l.","0049158","wo",4,"mintz","l","","mintz,l","savitzky,k, azar,i, david,a"
"973","smit,j.","0049163","wo",1,"smit","j","","smit,j",""
"974","graham,f.l.","0049166","wo",1,"graham","f","l.","graham,f","ng,p, parks,r, bacchetti,s, anglana,m"
"975","ng,p.","0049166","wo",2,"ng","p","","ng,p","graham,f, parks,r, bacchetti,s, anglana,m"
"976","parks,r.","0049166","wo",3,"parks","r","","parks,r","graham,f, ng,p, bacchetti,s, anglana,m"
"977","bacchetti,s.","0049166","wo",4,"bacchetti","s","","bacchetti,s","graham,f, ng,p, parks,r, anglana,m"
"978","anglana,m.","0049166","wo",5,"anglana","m","","anglana,m","graham,f, ng,p, parks,r, bacchetti,s"
"979","whitehouse,a.","0049167","wo",1,"whitehouse","a","","whitehouse,a","markham,a"
"980","markham,a.f.","0049167","wo",2,"markham","a","f.","markham,a","whitehouse,a"
"981","amouyel,p.","0049174","wo",1,"amouyel","p","","amouyel,p","helbecque,n, meirhaeghe,a"
"982","helbecque,n.","0049174","wo",2,"helbecque","n","","helbecque,n","amouyel,p, meirhaeghe,a"
"983","meirhaeghe,a.","0049174","wo",3,"meirhaeghe","a","","meirhaeghe,a","amouyel,p, helbecque,n"
"984","kessling,a.m.","0049175","wo",1,"kessling","a","m.","kessling,a","ogden,c, adshead,j, khoubehi,b"
"985","ogden,c.w.","0049175","wo",2,"ogden","c","w.","ogden,c","kessling,a, adshead,j, khoubehi,b"
"986","adshead,j.","0049175","wo",3,"adshead","j","","adshead,j","kessling,a, ogden,c, khoubehi,b"
"987","khoubehi,b.","0049175","wo",4,"khoubehi","b","","khoubehi,b","kessling,a, ogden,c, adshead,j"
"988","cogoni,c.","0050581","wo",1,"cogoni","c","","cogoni,c","macino,g"
"989","macino,g.","0050581","wo",2,"macino","g","","macino,g","cogoni,c"
"990","ruelle,j.l.","0050599","wo",1,"ruelle","j","l.","ruelle,j","thonnard,j"
"991","thonnard,j.","0050599","wo",2,"thonnard","j","","thonnard,j","ruelle,j"
"992","jacobs,h.","0050629","wo",1,"jacobs","h","","jacobs,h","rovio,a"
"993","rovio,a.","0050629","wo",2,"rovio","a","","rovio,a","jacobs,h"
"994","craig,r.k.","0050631","wo",1,"craig","r","k.","craig,r","colyer,j"
"995","colyer,j.","0050631","wo",2,"colyer","j","","colyer,j","craig,r"
"996","godson,c.m.","0050637","wo",1,"godson","c","m.","godson,c","brady,h, martin,f"
"997","brady,h.r.","0050637","wo",2,"brady","h","r.","brady,h","godson,c, martin,f"
"998","martin,f.m.","0050637","wo",3,"martin","f","m.","martin,f","godson,c, brady,h"
"999","craig,r.k.","0050896","wo",1,"craig","r","k.","craig,r","colyer,j, woolfson,d"
"1000","colyer,j.","0050896","wo",2,"colyer","j","","colyer,j","craig,r, woolfson,d"
