"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"617","lewis,c.","0034488","wo",4,"lewis","c","","lewis,c","barker,m, green,j, guest,j, sumner,s"
"618","sumner,s.","0034488","wo",5,"sumner","s","","sumner,s","barker,m, green,j, guest,j, lewis,c"
"619","robine,s.","0034492","wo",1,"robine","s","","robine,s","louvard,d, pinto,d, jaisser,f"
"620","louvard,d.","0034492","wo",2,"louvard","d","","louvard,d","robine,s, pinto,d, jaisser,f"
"621","pinto,d.","0034492","wo",3,"pinto","d","","pinto,d","robine,s, louvard,d, jaisser,f"
"622","jaisser,f.","0034492","wo",4,"jaisser","f","","jaisser,f","robine,s, louvard,d, pinto,d"
"623","hajeer,a.","0034516","wo",1,"hajeer","a","","hajeer,a","ollier,w"
"624","ollier,w.","0034516","wo",2,"ollier","w","","ollier,w","hajeer,a"
"625","tan,p.s.","0034517","wo",1,"tan","p","s.","tan,p","van maanen,c, wagter,l, schut,f, brinkhof,j, ensing,h, koopmans,h"
"626","van maanen,c.","0034517","wo",2,"van maanen","c","","van maanen,c","tan,p, wagter,l, schut,f, brinkhof,j, ensing,h, koopmans,h"
"627","wagter,l.h.","0034517","wo",3,"wagter","l","h.","wagter,l","tan,p, van maanen,c, schut,f, brinkhof,j, ensing,h, koopmans,h"
"628","schut,f.","0034517","wo",4,"schut","f","","schut,f","tan,p, van maanen,c, wagter,l, brinkhof,j, ensing,h, koopmans,h"
"629","brinkhof,j.m.","0034517","wo",5,"brinkhof","j","m.","brinkhof,j","tan,p, van maanen,c, wagter,l, schut,f, ensing,h, koopmans,h"
"630","ensing,h.z.","0034517","wo",6,"ensing","h","z.","ensing,h","tan,p, van maanen,c, wagter,l, schut,f, brinkhof,j, koopmans,h"
"631","koopmans,h.h.","0034517","wo",7,"koopmans","h","h.","koopmans,h","tan,p, van maanen,c, wagter,l, schut,f, brinkhof,j, ensing,h"
"632","hogers,r.c.","0034518","wo",1,"hogers","r","c.","hogers,r","vos,p, heijnen,l, van eijk,m"
"633","vos,p.a.","0034518","wo",2,"vos","p","a.","vos,p","hogers,r, heijnen,l, van eijk,m"
"634","heijnen,l.","0034518","wo",3,"heijnen","l","","heijnen,l","hogers,r, vos,p, van eijk,m"
"635","van eijk,m.j.","0034518","wo",4,"van eijk","m","j.","van eijk,m","hogers,r, vos,p, heijnen,l"
"636","khurana,t.s.","0035474","wo",1,"khurana","t","s.","khurana,t",""
"637","cohen,p.","0035946","wo",1,"cohen","p","","cohen,p","deak,m, kobayashi,t"
"638","deak,m.","0035946","wo",2,"deak","m","","deak,m","cohen,p, kobayashi,t"
"639","kobayashi,t.","0035946","wo",3,"kobayashi","t","","kobayashi,t","cohen,p, deak,m"
"640","dallman,m.j.","0036089","wo",1,"dallman","m","j.","dallman,m","hoyne,g, lamb,j"
"641","hoyne,g.f.","0036089","wo",2,"hoyne","g","f.","hoyne,g","dallman,m, lamb,j"
"642","lamb,j.r.","0036089","wo",3,"lamb","j","r.","lamb,j","dallman,m, hoyne,g"
"643","sugiyama,a.","0036112","wo",1,"sugiyama","a","","sugiyama,a","gemen,v, liao,h"
"644","gemen,v.b.","0036112","wo",2,"gemen","v","b.","gemen,v","sugiyama,a, liao,h"
"645","liao,h.","0036112","wo",3,"liao","h","","liao,h","sugiyama,a, gemen,v"
"646","de veylder,l.","0036124","wo",1,"de veylder","l","","de veylder,l","inze,d, boudolf,v, torres,a"
"647","inze,d.","0036124","wo",2,"inze","d","","inze,d","de veylder,l, boudolf,v, torres,a"
"648","boudolf,v.k.","0036124","wo",3,"boudolf","v","k.","boudolf,v","de veylder,l, inze,d, torres,a"
"649","torres,a.j.","0036124","wo",4,"torres","a","j.","torres,a","de veylder,l, inze,d, boudolf,v"
"650","georges,m.","0036143","wo",1,"georges","m","","georges,m","spincemaille,g, andersson,l"
"651","spincemaille,g.","0036143","wo",2,"spincemaille","g","","spincemaille,g","georges,m, andersson,l"
"652","andersson,l.","0036143","wo",3,"andersson","l","","andersson,l","georges,m, spincemaille,g"
"653","isola,j.","0036144","wo",1,"isola","j","","isola,j","nupponen,n, ovod,v, visakorpi,t"
"654","nupponen,n.","0036144","wo",2,"nupponen","n","","nupponen,n","isola,j, ovod,v, visakorpi,t"
"655","ovod,v.","0036144","wo",3,"ovod","v","","ovod,v","isola,j, nupponen,n, visakorpi,t"
"656","visakorpi,t.","0036144","wo",4,"visakorpi","t","","visakorpi,t","isola,j, nupponen,n, ovod,v"
"657","owen,r.h.","0036146","wo",1,"owen","r","h.","owen,r","percy,n, wicks,b"
"658","percy,n.","0036146","wo",2,"percy","n","","percy,n","owen,r, wicks,b"
"659","wicks,b.","0036146","wo",3,"wicks","b","","wicks,b","owen,r, percy,n"
"660","chang,s.","0036259","ep",1,"chang","s","","chang,s",""
"661","o'hare,m.j.","0036420","wo",1,"o'hare","m","j.","o'hare,m","mackay,a"
"662","mackay,a.g.","0036420","wo",2,"mackay","a","g.","mackay,a","o'hare,m"
"663","rogers,n.j.","0037102","wo",1,"rogers","n","j.","rogers,n","dorling,a, lechler,r"
"664","dorling,a.","0037102","wo",2,"dorling","a","","dorling,a","rogers,n, lechler,r"
"665","lechler,r.i.","0037102","wo",3,"lechler","r","i.","lechler,r","rogers,n, dorling,a"
"666","theissen,g.","0037488","wo",1,"theissen","g","","theissen,g","deleu,w, saedler,h, cacharron,j"
"667","deleu,w.","0037488","wo",2,"deleu","w","","deleu,w","theissen,g, saedler,h, cacharron,j"
"668","saedler,h.","0037488","wo",3,"saedler","h","","saedler,h","theissen,g, deleu,w, cacharron,j"
"669","cacharron,j.","0037488","wo",4,"cacharron","j","","cacharron,j","theissen,g, deleu,w, saedler,h"
"670","henwood,c.j.","0037490","wo",1,"henwood","c","j.","henwood,c","wilson,r, lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j"
"671","wilson,r.k.","0037490","wo",10,"wilson","r","k.","wilson,r","henwood,c, lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j"
"672","lane,j.d.","0037490","wo",2,"lane","j","d.","lane,j","henwood,c, wilson,r, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j"
"673","santangelo,j.d.","0037490","wo",3,"santangelo","j","d.","santangelo,j","henwood,c, wilson,r, lane,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j"
"674","dougan,g.","0037490","wo",4,"dougan","g","","dougan,g","henwood,c, wilson,r, lane,j, santangelo,j, everest,p, feldman,r, dobson,r, hughes,m, moore,j"
